127.0.0.1 - - [21/Aug/2015:02:18:25 +0800] "GET /manager/undeploy?path=/SKBWeb HTTP/1.1" 404 1597
127.0.0.1 - - [21/Aug/2015:02:19:40 +0800] "PUT /manager/deploy?path=%2FCSPSWeb HTTP/1.1" 403 3287
127.0.0.1 - - [21/Aug/2015:02:20:16 +0800] "GET /manager/ HTTP/1.1" 302 -
127.0.0.1 - - [21/Aug/2015:02:20:16 +0800] "GET /manager/html?org.apache.catalina.filters.CSRF_NONCE=A1B7218842E432430B32F66E087C93E3 HTTP/1.1" 401 2550
127.0.0.1 - - [21/Aug/2015:02:20:16 +0800] "GET /manager/html?org.apache.catalina.filters.CSRF_NONCE=A1B7218842E432430B32F66E087C93E3 HTTP/1.1" 401 2550
127.0.0.1 - sa [21/Aug/2015:02:20:22 +0800] "GET /manager/html?org.apache.catalina.filters.CSRF_NONCE=A1B7218842E432430B32F66E087C93E3 HTTP/1.1" 200 15827
127.0.0.1 - sa [21/Aug/2015:02:20:22 +0800] "GET /manager/images/asf-logo.gif HTTP/1.1" 200 7279
127.0.0.1 - sa [21/Aug/2015:02:20:22 +0800] "GET /manager/images/tomcat.gif HTTP/1.1" 200 2066
127.0.0.1 - - [21/Aug/2015:02:20:55 +0800] "PUT /manager/deploy?path=%2FCSPSWeb HTTP/1.1" 403 3287
127.0.0.1 - - [21/Aug/2015:02:23:09 +0800] "PUT /manager/deploy?path=%2FCSPSWeb HTTP/1.1" 403 3287
127.0.0.1 - - [21/Aug/2015:02:24:13 +0800] "PUT /manager/deploy?path=%2FCSPSWeb HTTP/1.1" 403 3287
127.0.0.1 - - [21/Aug/2015:02:26:12 +0800] "PUT /manager/deploy?path=%2FCSPSWeb HTTP/1.1" 403 3287
127.0.0.1 - - [21/Aug/2015:02:26:57 +0800] "PUT /manager/deploy?path=war HTTP/1.1" 403 3287
127.0.0.1 - - [21/Aug/2015:02:27:15 +0800] "PUT /manager/deploy?path=CSPSWeb HTTP/1.1" 403 3287
127.0.0.1 - sa [21/Aug/2015:02:27:56 +0800] "GET /manager/deploy?path=/CSPSWeb HTTP/1.1" 404 1595
127.0.0.1 - sa [21/Aug/2015:02:29:20 +0800] "GET /manager/deploy?path=%2FCSPSWeb HTTP/1.1" 404 1595
127.0.0.1 - - [21/Aug/2015:02:29:28 +0800] "PUT /manager/deploy?path=CSPSWeb HTTP/1.1" 403 3287
127.0.0.1 - - [21/Aug/2015:02:29:45 +0800] "GET /manager/deploy?path=%2FCSPSWeb HTTP/1.1" 404 1595
127.0.0.1 - - [21/Aug/2015:02:33:13 +0800] "PUT /manager/deploy?path=%2FCSPSWeb HTTP/1.1" 403 3287
127.0.0.1 - - [21/Aug/2015:02:34:33 +0800] "PUT /manager/deploy?path=%2FCSPSWeb HTTP/1.1" 403 3287
127.0.0.1 - - [21/Aug/2015:02:41:10 +0800] "PUT /manager/deploy?path=%2FCSPSWeb HTTP/1.1" 403 3287
127.0.0.1 - - [21/Aug/2015:02:41:21 +0800] "PUT /manager/deploy?path=%2FCSPSWeb HTTP/1.1" 403 3287
127.0.0.1 - - [21/Aug/2015:02:41:53 +0800] "PUT /manager/deploy?path=%2FCSPSWeb HTTP/1.1" 403 3287
127.0.0.1 - - [21/Aug/2015:02:43:03 +0800] "PUT /manager/deploy?path=%2FCSPSWeb HTTP/1.1" 403 3287
127.0.0.1 - - [21/Aug/2015:02:45:59 +0800] "PUT /manager/deploy?path=%2FCSPSWeb HTTP/1.1" 403 3287
127.0.0.1 - - [21/Aug/2015:02:46:36 +0800] "PUT /manager/deploy?path=%5CCSPSWeb HTTP/1.1" 403 3287
127.0.0.1 - - [21/Aug/2015:02:48:21 +0800] "PUT /manager/deploy?path=%2FCSPSWeb HTTP/1.1" 403 3287
127.0.0.1 - sa [21/Aug/2015:02:51:00 +0800] "PUT /manager/text/deploy?path=%2FCSPSWeb HTTP/1.1" 200 63
127.0.0.1 - - [21/Aug/2015:02:51:21 +0800] "GET /manager/ HTTP/1.1" 302 -
127.0.0.1 - - [21/Aug/2015:02:51:21 +0800] "GET /manager/html?org.apache.catalina.filters.CSRF_NONCE=0902A73BBC67C271B99CCF55E17DDA51 HTTP/1.1" 401 2550
127.0.0.1 - sa [21/Aug/2015:02:51:21 +0800] "GET /manager/html?org.apache.catalina.filters.CSRF_NONCE=0902A73BBC67C271B99CCF55E17DDA51 HTTP/1.1" 200 17533
127.0.0.1 - - [21/Aug/2015:02:52:16 +0800] "GET /CSPSWeb/main/login.jsp?src=DB HTTP/1.1" 500 4207
127.0.0.1 - - [21/Aug/2015:02:59:38 +0800] "GET /CSPSWeb/main/login.jsp?src=DB HTTP/1.1" 500 3913
127.0.0.1 - - [21/Aug/2015:09:02:00 +0800] "GET /manager/ HTTP/1.1" 302 -
127.0.0.1 - - [21/Aug/2015:09:02:00 +0800] "GET /manager/html?org.apache.catalina.filters.CSRF_NONCE=96C00E69608DA185926391C2C0B00A3E HTTP/1.1" 401 2550
127.0.0.1 - sa [21/Aug/2015:09:02:00 +0800] "GET /manager/html?org.apache.catalina.filters.CSRF_NONCE=96C00E69608DA185926391C2C0B00A3E HTTP/1.1" 200 17534
127.0.0.1 - - [21/Aug/2015:09:02:19 +0800] "GET /CSPSWeb/main/login.jsp?src=DB HTTP/1.1" 500 3913
127.0.0.1 - sa [21/Aug/2015:09:02:23 +0800] "GET /manager/text/undeploy?path=/CSPSWeb HTTP/1.1" 200 65
127.0.0.1 - sa [21/Aug/2015:09:02:30 +0800] "GET /manager/html?org.apache.catalina.filters.CSRF_NONCE=96C00E69608DA185926391C2C0B00A3E HTTP/1.1" 200 15829
127.0.0.1 - sa [21/Aug/2015:09:02:30 +0800] "GET /manager/images/asf-logo.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:09:02:30 +0800] "GET /manager/images/tomcat.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:09:02:31 +0800] "GET /manager/html?org.apache.catalina.filters.CSRF_NONCE=96C00E69608DA185926391C2C0B00A3E HTTP/1.1" 200 15829
127.0.0.1 - sa [21/Aug/2015:09:02:31 +0800] "GET /manager/images/asf-logo.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:09:02:31 +0800] "GET /manager/images/tomcat.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:09:02:45 +0800] "GET /manager/text/undeploy?path=/CSPSWeb HTTP/1.1" 200 55
127.0.0.1 - sa [21/Aug/2015:09:03:28 +0800] "GET /manager/text/undeploy?path=/CSPSWeb HTTP/1.1" 200 55
127.0.0.1 - sa [21/Aug/2015:09:07:24 +0800] "PUT /manager/text/deploy?path=%2FCSPSWeb HTTP/1.1" 200 63
127.0.0.1 - sa [21/Aug/2015:10:00:21 +0800] "GET /manager/text/undeploy?path=/CSPSWeb HTTP/1.1" 200 65
127.0.0.1 - sa [21/Aug/2015:10:00:46 +0800] "GET /manager/html?org.apache.catalina.filters.CSRF_NONCE=96C00E69608DA185926391C2C0B00A3E HTTP/1.1" 200 15826
127.0.0.1 - - [21/Aug/2015:10:00:46 +0800] "GET /manager/images/asf-logo.gif HTTP/1.1" 304 -
127.0.0.1 - - [21/Aug/2015:10:00:46 +0800] "GET /manager/images/tomcat.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:10:00:47 +0800] "GET /manager/html?org.apache.catalina.filters.CSRF_NONCE=96C00E69608DA185926391C2C0B00A3E HTTP/1.1" 200 15826
127.0.0.1 - sa [21/Aug/2015:10:00:47 +0800] "GET /manager/images/asf-logo.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:10:00:47 +0800] "GET /manager/images/tomcat.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:10:00:48 +0800] "GET /manager/html?org.apache.catalina.filters.CSRF_NONCE=96C00E69608DA185926391C2C0B00A3E HTTP/1.1" 200 15826
127.0.0.1 - sa [21/Aug/2015:10:00:48 +0800] "GET /manager/images/asf-logo.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:10:00:48 +0800] "GET /manager/images/tomcat.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:10:00:48 +0800] "GET /manager/html?org.apache.catalina.filters.CSRF_NONCE=96C00E69608DA185926391C2C0B00A3E HTTP/1.1" 200 15826
127.0.0.1 - sa [21/Aug/2015:10:00:48 +0800] "GET /manager/images/asf-logo.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:10:00:48 +0800] "GET /manager/images/tomcat.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:10:00:49 +0800] "GET /manager/html?org.apache.catalina.filters.CSRF_NONCE=96C00E69608DA185926391C2C0B00A3E HTTP/1.1" 200 15826
127.0.0.1 - sa [21/Aug/2015:10:00:49 +0800] "GET /manager/images/asf-logo.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:10:00:49 +0800] "GET /manager/images/tomcat.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:10:00:49 +0800] "GET /manager/html?org.apache.catalina.filters.CSRF_NONCE=96C00E69608DA185926391C2C0B00A3E HTTP/1.1" 200 15826
127.0.0.1 - sa [21/Aug/2015:10:00:49 +0800] "GET /manager/images/asf-logo.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:10:00:49 +0800] "GET /manager/images/tomcat.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:10:00:49 +0800] "GET /manager/html?org.apache.catalina.filters.CSRF_NONCE=96C00E69608DA185926391C2C0B00A3E HTTP/1.1" 200 15826
127.0.0.1 - sa [21/Aug/2015:10:00:49 +0800] "GET /manager/images/tomcat.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:10:00:49 +0800] "GET /manager/images/asf-logo.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:10:00:49 +0800] "GET /manager/html?org.apache.catalina.filters.CSRF_NONCE=96C00E69608DA185926391C2C0B00A3E HTTP/1.1" 200 15826
127.0.0.1 - sa [21/Aug/2015:10:00:49 +0800] "GET /manager/images/asf-logo.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:10:00:49 +0800] "GET /manager/images/tomcat.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:10:00:49 +0800] "GET /manager/html?org.apache.catalina.filters.CSRF_NONCE=96C00E69608DA185926391C2C0B00A3E HTTP/1.1" 200 15826
127.0.0.1 - sa [21/Aug/2015:10:00:49 +0800] "GET /manager/images/asf-logo.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:10:00:49 +0800] "GET /manager/images/tomcat.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:10:00:49 +0800] "GET /manager/html?org.apache.catalina.filters.CSRF_NONCE=96C00E69608DA185926391C2C0B00A3E HTTP/1.1" 200 15826
127.0.0.1 - sa [21/Aug/2015:10:00:49 +0800] "GET /manager/images/asf-logo.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:10:00:49 +0800] "GET /manager/images/tomcat.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:10:00:49 +0800] "GET /manager/html?org.apache.catalina.filters.CSRF_NONCE=96C00E69608DA185926391C2C0B00A3E HTTP/1.1" 200 15826
127.0.0.1 - sa [21/Aug/2015:10:00:49 +0800] "GET /manager/images/asf-logo.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:10:00:49 +0800] "GET /manager/images/tomcat.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:10:00:50 +0800] "GET /manager/html?org.apache.catalina.filters.CSRF_NONCE=96C00E69608DA185926391C2C0B00A3E HTTP/1.1" 200 15826
127.0.0.1 - sa [21/Aug/2015:10:00:50 +0800] "GET /manager/images/asf-logo.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:10:00:50 +0800] "GET /manager/images/tomcat.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:10:00:50 +0800] "GET /manager/html?org.apache.catalina.filters.CSRF_NONCE=96C00E69608DA185926391C2C0B00A3E HTTP/1.1" 200 15826
127.0.0.1 - sa [21/Aug/2015:10:00:50 +0800] "GET /manager/images/asf-logo.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:10:00:50 +0800] "GET /manager/images/tomcat.gif HTTP/1.1" 304 -
